Fri, Mar 22, 2024
2:10:05 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
208.2000000	-4221.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1067332	0.1303840	0.1246543	0.0835671	-0.1075024	-0.1314779	-0.1255934	-0.0840912
209.7000000	-33.1599998	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0939270	0.1115844	0.0181141	-0.0171240	-0.0946536	-0.1126188	-0.0189777	0.0166464
211.2000000	4208.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1105936	0.1286921	-0.0839537	-0.1262986	-0.1113293	-0.1297134	0.0831201	0.1258474
212.9000000	-4222.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1117239	0.1363332	0.1263844	0.0834370	-0.1125536	-0.1373556	-0.1272405	-0.0840615
214.4000000	-33.2299995	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0989049	0.1175158	0.0190295	-0.0180824	-0.0996774	-0.1184802	-0.0198397	0.0174870
215.9000000	4208.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1155716	0.1346380	-0.0838186	-0.1280399	-0.1163490	-0.1355296	0.0830494	0.1273841
217.7000000	-4221.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1167718	0.1422927	0.1279793	0.0832457	-0.1176373	-0.1431886	-0.1287316	-0.0839926
219.1500000	-33.2299995	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1039018	0.1234448	0.0199050	-0.0190172	-0.1046856	-0.1242495	-0.0206478	0.0182513
220.6500000	4207.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1205028	0.1405194	-0.0835811	-0.1296021	-0.1213177	-0.1411838	0.0829073	0.1286461
222.4000000	-4220.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1216891	0.1480961	0.1293648	0.0829657	-0.1227100	-0.1488350	-0.1298916	-0.0837871
223.9000000	-33.1199989	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1088423	0.1293460	0.0207821	-0.0198695	-0.1098020	-0.1300296	-0.0213593	0.0190204
225.4000000	4207.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1255149	0.1465160	-0.0831292	-0.1308586	-0.1264883	-0.1469817	0.0825522	0.1296263
227.1500000	-4221.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1269650	0.1541646	0.1303372	0.0823964	-0.1280535	-0.1547498	-0.1307830	-0.0832985
228.6500000	-33.3300018	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1140914	0.1354695	0.0215343	-0.0207295	-0.1150872	-0.1360101	-0.0221093	0.0197268
