Mon, Apr 01, 2024
2:22:51 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
233.6500000	-32.9300003	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0568299	0.0658805	0.0089695	-0.0090169	-0.0573456	-0.0667259	-0.0100629	0.0083984
235.2500000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0637850	0.0720981	-0.0356631	-0.0559665	-0.0643155	-0.0725401	0.0345819	0.0551106
237.1500000	-4206.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0655642	0.0773507	0.0539887	0.0343909	-0.0659487	-0.0785489	-0.0554777	-0.0346420
238.6500000	-32.9300003	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0586505	0.0676267	0.0088745	-0.0089749	-0.0590667	-0.0683231	-0.0099261	0.0083196
240.1500000	4193.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0652083	0.0734694	-0.0332102	-0.0531341	-0.0655805	-0.0737656	0.0319688	0.0521308
241.9500000	-4206.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0666759	0.0781272	0.0506673	0.0314028	-0.0670372	-0.0791146	-0.0518574	-0.0315477
243.5000000	-33.0400009	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0595500	0.0683932	0.0087072	-0.0088768	-0.0598730	-0.0689386	-0.0097153	0.0082096
245.0000000	4193.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0655180	0.0737641	-0.0292004	-0.0486736	-0.0656829	-0.0739248	0.0277528	0.0474445
246.8000000	-4206.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0662659	0.0772255	0.0453912	0.0265173	-0.0665857	-0.0778806	-0.0461321	-0.0264372
248.3000000	-33.0699997	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0588505	0.0675104	0.0085037	-0.0087504	-0.0590246	-0.0677736	-0.0093686	0.0080431
249.9000000	4193.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0638543	0.0721769	-0.0228495	-0.0418546	-0.0637526	-0.0720690	0.0212608	0.0401300
251.6500000	-4205.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0633319	0.0736155	0.0375283	0.0192060	-0.0635808	-0.0737120	-0.0375512	-0.0187724
253.2000000	-33.0699997	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0556293	0.0639928	0.0082080	-0.0085156	-0.0556733	-0.0638576	-0.0087566	0.0077070
254.7000000	4192.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0593220	0.0675815	-0.0141994	-0.0324613	-0.0589333	-0.0671199	0.0127362	0.0301785
256.5500000	-4206.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0572137	0.0666285	0.0276096	0.0102815	-0.0574843	-0.0660931	-0.0269196	-0.0096651
258.0000000	-33.0999985	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0495850	0.0573854	0.0076697	-0.0079797	-0.0495519	-0.0568681	-0.0078139	0.0070860
259.5500000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0518343	0.0595840	-0.0051612	-0.0219280	-0.0512960	-0.0589166	0.0041437	0.0194964
261.3500000	-4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0484586	0.0567026	0.0174482	0.0018662	-0.0487845	-0.0557471	-0.0164389	-0.0014437
